ballot_type,form_type,station_id,choice_no,votes,total_ballots,invalid_ballots,no_vote_ballots,name,party,source_page,reviewer_notes
constituency,518,1,1,13,291,19,10,นายประเสริฐศักดิ์ จำหนัก,ไทยก้าวใหม่,1,Verified manually from official ECT 5/18 PDF: ต.กุดน้ำใส page 1
constituency,518,1,2,66,291,19,10,นางสาววาสนา อยู่ภักดี,ประชาชน,1,Verified manually from official ECT 5/18 PDF: ต.กุดน้ำใส page 1
constituency,518,1,3,156,291,19,10,นายเชิงชาย ชาลีรินทร์,เพื่อไทย,1,Verified manually from official ECT 5/18 PDF: ต.กุดน้ำใส page 1
constituency,518,1,4,7,291,19,10,นายณรงค์ แขนอก,ประชาธิปัตย์,1,Verified manually from official ECT 5/18 PDF: ต.กุดน้ำใส page 1
constituency,518,1,5,5,291,19,10,นายทัศนัย สุขประสาร,ภูมิใจไทย,1,Verified manually from official ECT 5/18 PDF: ต.กุดน้ำใส page 1
constituency,518,1,6,3,291,19,10,นายโสโชค สู้โนนตาด,รวมไทยสร้างชาติ,1,Verified manually from official ECT 5/18 PDF: ต.กุดน้ำใส page 1
constituency,518,1,8,12,291,19,10,นายกวัสย์ หงษ์ไทย,เศรษฐกิจ,1,Verified manually from official ECT 5/18 PDF: ต.กุดน้ำใส page 1
constituency,518,2,1,10,216,13,13,นายประเสริฐศักดิ์ จำหนัก,ไทยก้าวใหม่,7,Verified manually from official ECT 5/18 PDF: ต.กุดน้ำใส page 7
constituency,518,2,2,54,216,13,13,นางสาววาสนา อยู่ภักดี,ประชาชน,7,Verified manually from official ECT 5/18 PDF: ต.กุดน้ำใส page 7
constituency,518,2,3,108,216,13,13,นายเชิงชาย ชาลีรินทร์,เพื่อไทย,7,Verified manually from official ECT 5/18 PDF: ต.กุดน้ำใส page 7
constituency,518,2,4,4,216,13,13,นายณรงค์ แขนอก,ประชาธิปัตย์,7,Verified manually from official ECT 5/18 PDF: ต.กุดน้ำใส page 7
constituency,518,2,5,6,216,13,13,นายทัศนัย สุขประสาร,ภูมิใจไทย,7,Verified manually from official ECT 5/18 PDF: ต.กุดน้ำใส page 7
constituency,518,2,6,4,216,13,13,นายโสโชค สู้โนนตาด,รวมไทยสร้างชาติ,7,Verified manually from official ECT 5/18 PDF: ต.กุดน้ำใส page 7
constituency,518,2,8,4,216,13,13,นายกวัสย์ หงษ์ไทย,เศรษฐกิจ,7,Verified manually from official ECT 5/18 PDF: ต.กุดน้ำใส page 7
constituency,518,18,1,1,137,4,6,นายประเสริฐศักดิ์ จำหนัก,ไทยก้าวใหม่,1,Verified manually from official ECT 5/18 PDF: ต.บ้านกอก page 1
constituency,518,18,2,21,137,4,6,นางสาววาสนา อยู่ภักดี,ประชาชน,1,Verified manually from official ECT 5/18 PDF: ต.บ้านกอก page 1
constituency,518,18,3,94,137,4,6,นายเชิงชาย ชาลีรินทร์,เพื่อไทย,1,Verified manually from official ECT 5/18 PDF: ต.บ้านกอก page 1
constituency,518,18,4,2,137,4,6,นายณรงค์ แขนอก,ประชาธิปัตย์,1,Verified manually from official ECT 5/18 PDF: ต.บ้านกอก page 1
constituency,518,18,5,7,137,4,6,นายทัศนัย สุขประสาร,ภูมิใจไทย,1,Verified manually from official ECT 5/18 PDF: ต.บ้านกอก page 1
constituency,518,18,6,0,137,4,6,นายโสโชค สู้โนนตาด,รวมไทยสร้างชาติ,1,Verified manually from official ECT 5/18 PDF: ต.บ้านกอก page 1
constituency,518,18,8,2,137,4,6,นายกวัสย์ หงษ์ไทย,เศรษฐกิจ,1,Verified manually from official ECT 5/18 PDF: ต.บ้านกอก page 1
constituency,518,33,1,5,360,23,12,นายประเสริฐศักดิ์ จำหนัก,ไทยก้าวใหม่,1,Verified manually from official ECT 5/18 PDF: ต.บ้านขาม page 1
constituency,518,33,2,67,360,23,12,นางสาววาสนา อยู่ภักดี,ประชาชน,1,Verified manually from official ECT 5/18 PDF: ต.บ้านขาม page 1
